field name;type;description
collection_status_chargeoff_unsecured_last_6months_max;INTEGER;
collection_status_chargewriteoff_last_12months_max;INTEGER;
collection_status_chargewriteoff_last_1month_max;INTEGER;
collection_status_chargewriteoff_last_24months_max;INTEGER;
collection_status_chargewriteoff_last_3months_max;INTEGER;
collection_status_chargewriteoff_last_6months_max;INTEGER;
collection_status_chargewriteoff_secured_last_12months_max;INTEGER;
collection_status_chargewriteoff_secured_last_1month_max;INTEGER;
collection_status_chargewriteoff_secured_last_24months_max;INTEGER;
collection_status_chargewriteoff_secured_last_3months_max;INTEGER;
collection_status_chargewriteoff_secured_last_6months_max;INTEGER;
collection_status_chargewriteoff_securedmortgage_last_12months_max;INTEGER;
collection_status_chargewriteoff_securedmortgage_last_1month_max;INTEGER;
collection_status_chargewriteoff_securedmortgage_last_24months_max;INTEGER;
collection_status_chargewriteoff_securedmortgage_last_3months_max;INTEGER;
collection_status_chargewriteoff_securedmortgage_last_6months_max;INTEGER;
collection_status_chargewriteoff_securedvehicle_last_12months_max;INTEGER;
collection_status_chargewriteoff_securedvehicle_last_1month_max;INTEGER;
collection_status_chargewriteoff_securedvehicle_last_24months_max;INTEGER;
collection_status_chargewriteoff_securedvehicle_last_3months_max;INTEGER;
collection_status_chargewriteoff_securedvehicle_last_6months_max;INTEGER;
collection_status_chargewriteoff_unsecured_last_12months_max;INTEGER;
collection_status_chargewriteoff_unsecured_last_1month_max;INTEGER;
collection_status_chargewriteoff_unsecured_last_24months_max;INTEGER;
collection_status_chargewriteoff_unsecured_last_3months_max;INTEGER;
collection_status_chargewriteoff_unsecured_last_6months_max;INTEGER;
collection_status_closed_last_12months_max;INTEGER;
collection_status_closed_last_12months_min;INTEGER;
collection_status_closed_last_1month_max;INTEGER;
collection_status_closed_last_1month_min;INTEGER;
collection_status_closed_last_24months_max;INTEGER;
collection_status_closed_last_24months_min;INTEGER;
collection_status_closed_last_3months_max;INTEGER;
collection_status_closed_last_3months_min;INTEGER;
collection_status_closed_last_6months_max;INTEGER;
collection_status_closed_last_6months_min;INTEGER;
collection_status_closed_secured_last_12months_max;INTEGER;
collection_status_closed_secured_last_1month_max;INTEGER;
collection_status_closed_secured_last_24months_max;INTEGER;
collection_status_closed_secured_last_3months_max;INTEGER;
collection_status_closed_secured_last_6months_max;INTEGER;
collection_status_closed_securedmortgage_last_12months_max;INTEGER;
collection_status_closed_securedmortgage_last_1month_max;INTEGER;
collection_status_closed_securedmortgage_last_24months_max;INTEGER;
collection_status_closed_securedmortgage_last_3months_max;INTEGER;
collection_status_closed_securedmortgage_last_6months_max;INTEGER;
collection_status_closed_securedvehicle_last_12months_max;INTEGER;
collection_status_closed_securedvehicle_last_1month_max;INTEGER;
collection_status_closed_securedvehicle_last_24months_max;INTEGER;
collection_status_closed_securedvehicle_last_3months_max;INTEGER;
collection_status_closed_securedvehicle_last_6months_max;INTEGER;
collection_status_closed_unsecured_last_12months_max;INTEGER;
collection_status_closed_unsecured_last_12months_min;INTEGER;
collection_status_closed_unsecured_last_1month_max;INTEGER;
collection_status_closed_unsecured_last_1month_min;INTEGER;
collection_status_closed_unsecured_last_24months_max;INTEGER;
collection_status_closed_unsecured_last_24months_min;INTEGER;
collection_status_closed_unsecured_last_3months_max;INTEGER;
collection_status_closed_unsecured_last_3months_min;INTEGER;
collection_status_closed_unsecured_last_6months_max;INTEGER;
collection_status_closed_unsecured_last_6months_min;INTEGER;
collection_status_competitors_active_last_12months_max;INTEGER;
collection_status_competitors_active_last_1month_max;INTEGER;
collection_status_competitors_active_last_24months_max;INTEGER;
collection_status_competitors_active_last_3months_max;INTEGER;
collection_status_competitors_active_last_6months_max;INTEGER;
collection_status_competitors_allcondition_last_12months_max;INTEGER;
collection_status_competitors_allcondition_last_1month_max;INTEGER;
collection_status_competitors_allcondition_last_24months_max;INTEGER;
collection_status_competitors_allcondition_last_3months_max;INTEGER;
collection_status_competitors_allcondition_last_6months_max;INTEGER;
collection_status_competitors_allcondition_secured_last_12months_max;INTEGER;
collection_status_competitors_allcondition_secured_last_1month_max;INTEGER;
collection_status_competitors_allcondition_secured_last_24months_max;INTEGER;
collection_status_competitors_allcondition_secured_last_3months_max;INTEGER;
collection_status_competitors_allcondition_secured_last_6months_max;INTEGER;
collection_status_competitors_nonrestructured_active_last_12months_max;INTEGER;
collection_status_competitors_nonrestructured_active_last_1month_max;INTEGER;
collection_status_competitors_nonrestructured_active_last_24months_max;INTEGER;
collection_status_competitors_nonrestructured_active_last_3months_max;INTEGER;
collection_status_competitors_nonrestructured_active_last_6months_max;INTEGER;
collection_status_competitors_nonrestructured_allcondition_last_12months_max;INTEGER;
collection_status_competitors_nonrestructured_allcondition_last_1month_max;INTEGER;
collection_status_competitors_nonrestructured_allcondition_last_24months_max;INTEGER;
collection_status_competitors_nonrestructured_allcondition_last_3months_max;INTEGER;
collection_status_competitors_nonrestructured_allcondition_last_6months_max;INTEGER;
collection_status_competitors_nonrestructured_allcondition_secured_last_12months_max;INTEGER;
collection_status_competitors_nonrestructured_allcondition_secured_last_1month_max;INTEGER;
collection_status_competitors_nonrestructured_allcondition_secured_last_24months_max;INTEGER;
collection_status_competitors_nonrestructured_allcondition_secured_last_3months_max;INTEGER;
collection_status_competitors_nonrestructured_allcondition_secured_last_6months_max;INTEGER;
